title,price,original_price,discount,release_date,platforms,review_rating,review_count
Counter-Strike 2,0,0,100,2012-08-21,"Windows, Linux",77,777809730
Umamusume: Pretty Derby,0,0,100,2025-06-24,Windows,93,93899530
PUBG: BATTLEGROUNDS,0,0,100,2017-12-21,Windows,69,691565130
Marvel Rivals,0,0,100,2024-12-05,Windows,56,561121130
PEAK,359,359,0,2025-06-16,Windows,93,934183930
Dota 2,0,0,100,2013-07-09,"Windows, Mac, Linux",75,752071430
Apex Legends™,0,0,100,2020-11-04,Windows,58,58646630
Unknown,0,0,100,,Unknown,0,0
Rust,1700,1700,0,2018-02-08,"Windows, Mac",83,831110930
Forza Horizon 5,1749,3499,50,2021-11-08,Windows,89,89291730
Delta Force,0,0,100,2024-12-04,Windows,47,47867630
Street Fighter™ 6,1874,2499,25,2023-06-01,Windows,80,80116630
"Warhammer 40,000: Dawn of War - Definitive Edition",809,899,10,2025-08-14,Windows,78,782776
War Thunder,0,0,100,2013-08-15,"Windows, Mac, Linux",77,0
RimWorld,1500,1500,0,2018-10-17,"Windows, Mac, Linux",96,96291930
Destiny 2,0,2599,100,2019-10-01,Windows,56,56313530
Team Fortress 2,0,0,100,2007-10-10,"Windows, Linux",94,94804130
Grounded 2,2499,2499,0,2025-07-29,Windows,84,846692
NARAKA: BLADEPOINT,0,0,100,2021-08-11,Windows,58,0
Ready or Not,1995,1995,0,2023-12-13,Windows,56,56985530
ELDEN RING NIGHTREIGN,2499,2499,0,2025-05-29,Windows,84,84640030
Once Human,0,0,100,2024-07-09,Windows,75,75303430
F1® 25,2399,2999,20,2025-05-30,Windows,84,84116030
Battlefield™ 2042,149,2999,95,2021-11-19,Windows,42,42505430
R.E.P.O.,480,480,0,2025-02-26,Windows,94,94757630
Tom Clancy's Rainbow Six® Siege X,0,0,100,2015-12-01,Windows,72,721303230
THE FINALS,0,0,100,2023-12-07,Windows,80,80434030
Mafia: The Old Country,2899,2899,0,2025-08-07,Windows,71,715828
Limbus Company,0,0,100,2023-02-26,Windows,92,92383130
eFootball™,0,0,100,2021-09-29,Windows,64,64202530
Wallpaper Engine,250,250,0,2018-11-16,Windows,97,97911630
GUILTY GEAR -STRIVE-,2595,5829,55,2021-06-11,Windows,87,8762630
Stardew Valley,479,479,0,2016-02-26,"Windows, Mac, Linux",98,981147630
Hearts of Iron IV,2699,2699,0,2016-06-06,"Windows, Mac, Linux",88,0
Schedule I,880,880,0,2025-03-24,Windows,95,95664230
Battlefield™ 6,3999,3999,0,2025-10-10,Windows,0,0
Subnautica,1800,1800,0,2018-01-23,"Windows, Mac",95,95360130
The Sims™ 4,0,0,100,2014-09-02,Windows,84,84250030
EA SPORTS™ Madden NFL 26,3999,3999,0,2025-08-14,Windows,46,46443
iRacing,0,0,100,2015-01-12,Windows,84,8415630
