title,price,original_price,discount,release_date,platforms,review_rating,review_count
Counter-Strike 2,Free,Free,Free,"21 Aug, 2012","Windows, Linux","77% of the 78,097 user reviews in the last 30 days are positive.",777809730
Umamusume: Pretty Derby,Free,Free,Free,"24 Jun, 2025",Windows,"93% of the 8,995 user reviews in the last 30 days are positive.",93899530
PUBG: BATTLEGROUNDS,Free,Free,Free,"21 Dec, 2017",Windows,"69% of the 15,651 user reviews in the last 30 days are positive.",691565130
Marvel Rivals,Free,Free,Free,"5 Dec, 2024",Windows,"56% of the 11,211 user reviews in the last 30 days are positive.",561121130
PEAK,359.0,359.0,0%%,"16 Jun, 2025",Windows,"93% of the 41,839 user reviews in the last 30 days are positive.",934183930
Dota 2,Free,Free,Free,"9 Jul, 2013","Windows, Mac, Linux","75% of the 20,714 user reviews in the last 30 days are positive.",752071430
Apex Legends™,Free,Free,Free,"4 Nov, 2020",Windows,"58% of the 6,466 user reviews in the last 30 days are positive.",58646630
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Rust,1700.0,1700.0,0%%,"8 Feb, 2018","Windows, Mac","83% of the 11,109 user reviews in the last 30 days are positive.",831110930
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Forza Horizon 5,1749.0,3499.0,50%%,"8 Nov, 2021",Windows,"89% of the 2,917 user reviews in the last 30 days are positive.",89291730
Delta Force,Free,Free,Free,"4 Dec, 2024",Windows,"47% of the 8,676 user reviews in the last 30 days are positive.",47867630
Street Fighter™ 6,1874.0,2499.0,25%%,"1 Jun, 2023",Windows,"80% of the 1,166 user reviews in the last 30 days are positive.",80116630
"Warhammer 40,000: Dawn of War - Definitive Edition",809.0,899.0,10%%,"14 Aug, 2025",Windows,"78% of the 2,776 user reviews in your language are positive",782776
War Thunder,Free,Free,Free,"15 Aug, 2013","Windows, Mac, Linux","77% of the 10,577 user reviews in the last 30 days are positive.",0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
RimWorld,1500.0,1500.0,0%%,"17 Oct, 2018","Windows, Mac, Linux","96% of the 2,919 user reviews in the last 30 days are positive.",96291930
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Destiny 2,Free,2599.0,Free,"1 Oct, 2019",Windows,"56% of the 3,135 user reviews in the last 30 days are positive.",56313530
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Team Fortress 2,Free,Free,Free,"10 Oct, 2007","Windows, Linux","94% of the 8,041 user reviews in the last 30 days are positive.",94804130
Grounded 2,2499.0,2499.0,0%%,"29 Jul, 2025",Windows,"84% of the 6,692 user reviews in your language are positive",846692
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
NARAKA: BLADEPOINT,Free,Free,Free,"11 Aug, 2021",Windows,"58% of the 2,506 user reviews in the last 30 days are positive.",0
Ready or Not,1995.0,1995.0,0%%,"13 Dec, 2023",Windows,"56% of the 9,855 user reviews in the last 30 days are positive.",56985530
ELDEN RING NIGHTREIGN,2499.0,2499.0,0%%,"29 May, 2025",Windows,"84% of the 6,400 user reviews in the last 30 days are positive.",84640030
Once Human,Free,Free,Free,"9 Jul, 2024",Windows,"75% of the 3,034 user reviews in the last 30 days are positive.",75303430
F1® 25,2399.0,2999.0,20%%,"30 May, 2025",Windows,"84% of the 1,160 user reviews in the last 30 days are positive.",84116030
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Battlefield™ 2042,149.0,2999.0,95%%,"19 Nov, 2021",Windows,"42% of the 5,054 user reviews in the last 30 days are positive.",42505430
R.E.P.O.,480.0,480.0,0%%,"26 Feb, 2025",Windows,"94% of the 7,576 user reviews in the last 30 days are positive.",94757630
Tom Clancy's Rainbow Six® Siege X,Free,Free,Free,"1 Dec, 2015",Windows,"72% of the 13,032 user reviews in the last 30 days are positive.",721303230
THE FINALS,Free,Free,Free,"7 Dec, 2023",Windows,"80% of the 4,340 user reviews in the last 30 days are positive.",80434030
Mafia: The Old Country,2899.0,2899.0,0%%,"7 Aug, 2025",Windows,"71% of the 5,828 user reviews in your language are positive",715828
Limbus Company,Free,Free,Free,"26 Feb, 2023",Windows,"92% of the 3,831 user reviews in the last 30 days are positive.",92383130
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
eFootball™,Free,Free,Free,"29 Sep, 2021",Windows,"64% of the 2,025 user reviews in the last 30 days are positive.",64202530
Wallpaper Engine,250.0,250.0,0%%,"16 Nov, 2018",Windows,"97% of the 9,116 user reviews in the last 30 days are positive.",97911630
GUILTY GEAR -STRIVE-,2595.0,5829.0,55%%,"11 Jun, 2021",Windows,87% of the 626 user reviews in the last 30 days are positive.,8762630
Stardew Valley,479.0,479.0,0%%,"26 Feb, 2016","Windows, Mac, Linux","98% of the 11,476 user reviews in the last 30 days are positive.",981147630
Hearts of Iron IV,2699.0,2699.0,0%%,"6 Jun, 2016","Windows, Mac, Linux","88% of the 2,518 user reviews in the last 30 days are positive.",0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Schedule I,880.0,880.0,0%%,"24 Mar, 2025",Windows,"95% of the 6,642 user reviews in the last 30 days are positive.",95664230
Battlefield™ 6,3999.0,3999.0,0%%,"10 Oct, 2025",Windows,No user reviews,0
Subnautica,1800.0,1800.0,0%%,"23 Jan, 2018","Windows, Mac","95% of the 3,601 user reviews in the last 30 days are positive.",95360130
The Sims™ 4,Free,Free,Free,"2 Sep, 2014",Windows,"84% of the 2,500 user reviews in the last 30 days are positive.",84250030
EA SPORTS™ Madden NFL 26,3999.0,3999.0,0%%,"14 Aug, 2025",Windows,46% of the 443 user reviews for this game are positive.,46443
iRacing,Free,Free,Free,"12 Jan, 2015",Windows,84% of the 156 user reviews in the last 30 days are positive.,8415630
Age of Empires IV: Anniversary Edition,519.0,1299.0,60%%,"28 Oct, 2021",Windows,83% of the 630 user reviews in the last 30 days are positive.,8363030
Eternal Return,Free,Free,Free,"19 Jul, 2023",Windows,"26% of the 1,667 user reviews in the last 30 days are positive.",26166730
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Path of Exile 2,2532.0,2532.0,0%%,"6 Dec, 2024",Windows,"66% of the 1,107 user reviews in the last 30 days are positive.",66110730
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Unknown,Free,Free,Free,Unknown,Unknown,No Rating,0
Risk of Rain 2,237.0,719.0,67%%,"11 Aug, 2020",Windows,"92% of the 1,252 user reviews in the last 30 days are positive.",92125230
Last Epoch,1500.0,1500.0,0%%,"21 Feb, 2024","Windows, Linux",66% of the 884 user reviews in the last 30 days are positive.,0
Wuthering Waves,Free,Free,Free,"28 Apr, 2025",Windows,"87% of the 2,386 user reviews in the last 30 days are positive.",87238630
inZOI,1919.0,2399.0,20%%,"27 Mar, 2025","Windows, Mac",58% of the 960 user reviews in the last 30 days are positive.,5896030
Stellaris,2199.0,2199.0,0%%,"9 May, 2016","Windows, Mac, Linux",78% of the 768 user reviews in the last 30 days are positive.,0
Magic: The Gathering Arena,Free,Free,Free,"23 May, 2023",Windows,61% of the 897 user reviews in the last 30 days are positive.,6189730
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,2099.0,3499.0,40%%,"13 Jun, 2024",Windows,89% of the 115 user reviews in the last 30 days are positive.,8911530
